state,ageGroup,raceEthnicity,gender,education,smokingStatus,alcoholPerWeek,anyPhysicalActivity,n,n_2035
OH,1,3,1,1,0,0,1,237561,226021
OH,1,3,2,1,0,0,1,226524,215527
OH,1,4,1,1,0,0,1,72236,73477
OH,1,4,2,1,0,0,1,68885,70071
OH,1,2,1,1,0,0,1,33226,36223
OH,1,2,2,1,0,0,1,31672,34530
OH,1,5,1,1,0,0,1,15501,16815
OH,1,5,2,1,0,0,1,14781,16035
OH,2,3,1,1,0,0,1,248984,237266
OH,2,3,2,1,0,0,1,237411,226258
OH,2,4,1,1,0,0,1,70883,71877
OH,2,4,2,1,0,0,1,67953,68898
OH,2,2,1,1,0,0,1,31406,34126
OH,2,2,2,1,0,0,1,29753,32351
OH,2,5,1,1,0,0,1,15221,16455
OH,2,5,2,1,0,0,1,14883,16053
OH,3,3,1,1,0,0,1,257099,247643
OH,3,3,2,1,0,0,1,245249,236209
OH,3,4,1,1,0,0,1,68065,69909
OH,3,4,2,1,0,0,1,65749,67497
OH,3,2,1,1,0,0,1,28450,32187
OH,3,2,2,1,0,0,1,26787,30352
OH,3,5,1,1,0,0,1,14344,15868
OH,3,5,2,1,0,0,1,14283,15731
OH,4,3,1,1,0,0,1,259867,254131
OH,4,3,2,1,0,0,1,249627,246092
OH,4,4,1,1,0,0,1,64149,67178
OH,4,4,2,1,0,0,1,60796,62829
OH,4,2,1,1,0,0,1,27023,30182
OH,4,2,2,1,0,0,1,25597,28429
OH,4,5,1,1,0,0,1,13223,15474
OH,4,5,2,1,0,0,1,13141,15195
OH,5,3,1,1,0,0,1,1130,1035
OH,5,3,1,2,0,0,0,1130,1035
OH,5,3,1,2,0,0,1,4871,4463
OH,5,3,1,2,0,1,1,5801,5314
OH,5,3,1,3,0,0,0,4470,4095
OH,5,3,1,3,0,0,1,32769,30020
OH,5,3,1,3,0,1,0,1080,989
OH,5,3,1,3,0,1,1,45375,41567
OH,5,3,1,3,0,2,0,1406,1288
